,customer_number,Cluster,fruit_veg,dairy,confectionary,grocery_food,grocery_health_pets,newspapers_magazines,prepared_meals,soft_drinks,frozen,meat,tobacco,drinks,deli,world_foods,lottery,seasonal_gifting,discount_bakery,practical_items,total_spend,recency,frequency,name
842,9097,2,47.51,74.43,112.95,78.84,183.49,11.1,41.05,99.37,58.27,90.96,233.89,0.95,8.45,9.01,26.7,10.41,0.0,6.78,1147.99,1,54,c
843,3046,4,0.0,4.82,26.33,25.14,73.86,4.47,24.88,11.37,3.28,10.56,0.0,14.61,1.46,4.76,0.0,17.92,0.0,3.38,249.28000000000003,102,22,e
844,12792,1,92.61,77.9,1.91,49.96,68.25,0.0,72.84,0.0,10.09,21.94,63.9,0.0,3.78,20.71,1.0,8.48,0.0,1.69,512.0999999999999,2,37,b
845,521,0,35.63,136.36,48.45,30.41,19.87,25.07,2.0,12.02,15.6,1.29,0.0,0.0,0.0,15.05,0.0,3.59,0.0,0.0,534.81,1,117,a
846,2994,3,6.42,37.06,23.56,20.48,16.04,7.86,13.23,13.76,35.01,32.19,0.0,281.87,3.37,16.16,0.0,3.04,0.0,1.68,586.0700000000002,1,47,d
847,12323,1,86.04,78.95,25.27,41.88,64.6,0.0,0.0,3.34,32.59,66.61,197.36,0.0,15.75,4.1,49.0,0.0,0.0,0.0,676.31,8,45,b
848,11368,3,90.49,66.33,22.0,52.78,18.55,36.85,47.32,13.83,33.5,20.47,0.0,123.52,3.98,1.97,0.0,4.12,0.0,1.06,603.55,5,130,d
849,1357,0,150.34,139.12,52.84,188.03,247.94,0.4,25.99,36.31,95.93,148.35,0.0,0.0,0.0,3.66,0.0,11.13,0.0,33.37,1188.78,2,100,a
850,10357,3,217.85,259.48,107.01,106.04,139.56,94.67,132.1,52.74,112.03,174.26,0.0,124.13,35.79,40.97,21.0,19.02,0.0,0.0,1842.4499999999998,4,66,d
851,12103,2,57.57,53.06,30.85,61.52,65.54,0.0,10.78,26.33,82.82,40.01,97.15,73.59,63.74,1.58,43.0,0.0,4.13,0.84,744.38,2,33,c
852,11182,3,123.94,186.64,75.41,134.28,73.59,12.4,42.03,27.77,101.75,208.98,0.0,10.25,6.94,11.59,18.0,1.1,0.0,1.69,1152.53,2,42,d
853,13038,4,15.59,27.37,18.59,20.0,12.91,0.0,2.54,6.43,19.94,23.28,0.0,3.4,0.0,0.0,0.0,0.84,0.0,4.26,166.82999999999998,116,8,e
854,14011,4,14.29,2.67,5.28,6.47,7.22,0.0,0.65,0.0,28.38,13.94,0.0,160.53,0.75,0.0,0.0,2.55,0.0,0.0,332.19,3,26,e
855,6299,3,135.17,130.67,75.08,250.48,119.46,10.88,68.53,240.59,68.28,91.66,3.84,8.83,0.0,0.0,0.0,11.13,0.0,6.08,1320.3600000000001,1,124,d
856,10558,2,143.84,203.81,158.12,425.36,121.42,10.62,90.55,21.38,80.51,32.33,43.1,3.19,73.05,11.4,317.0,2.55,0.0,0.0,1855.89,8,264,c
857,4176,0,82.08,44.99,61.87,49.22,31.84,7.52,26.39,24.83,23.84,5.99,18.44,0.0,2.2,0.0,0.0,4.63,12.99,0.0,412.95000000000005,1,35,a
858,8257,0,61.14,57.83,112.24,115.56,52.41,25.5,3.18,9.87,47.4,6.74,0.0,0.0,1.98,4.51,0.0,0.0,0.0,0.0,529.06,1,43,a
859,15838,1,34.77,40.85,32.3,14.01,1.65,90.48,14.76,3.06,0.0,9.18,54.09,6.8,0.0,13.08,100.0,0.0,0.0,0.0,561.0699999999999,7,41,b
860,5179,3,68.77,72.23,84.87,91.72,93.06,6.2,75.66,37.61,54.0,63.21,6.01,131.76,0.0,4.32,3.0,22.37,0.0,0.0,898.87,8,33,d
861,12452,0,73.14,77.82,38.9,127.26,16.44,0.0,82.26,0.0,57.77,143.06,0.0,0.0,0.0,34.88,64.0,0.0,0.0,0.0,759.27,3,39,a
862,9927,2,40.34,250.81,42.03,25.4,22.12,48.09,15.19,90.81,21.18,17.75,121.87,310.22,1.7,6.54,0.0,5.09,0.0,0.0,1270.06,1,247,c
863,8294,3,115.37,70.65,148.98,140.16,187.29,4.8,74.04,53.73,55.63,128.37,0.0,77.24,2.44,12.42,0.0,21.26,0.0,2.79,1130.42,1,41,d
864,2892,0,84.45,39.71,73.71,1.33,50.34,0.15,105.66,108.92,6.32,41.1,0.0,4.82,81.55,0.0,19.0,5.06,0.0,0.0,653.01,2,159,a
865,328,0,52.05,63.85,71.9,70.86,66.59,14.8,67.47,18.64,32.87,60.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,542.51,4,8,a
866,11104,3,119.4,86.01,33.0,102.95,96.8,24.76,65.36,17.8,13.39,139.24,7.91,659.35,24.25,3.42,0.0,5.38,0.0,17.87,1423.2600000000002,3,137,d
